,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bytree,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
946,109.7182088692983,0.9055236509864807,0.29847518603007,0.0026652013015655562,0.7,64,0.001953125,2001,4,14,0.125,0.9,1.0,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 64, 'xgb__reg_alpha': 0.001953125, 'xgb__n_estimators': 2001, 'xgb__min_child_weight': 4, 'xgb__max_depth': 14, 'xgb__learning_rate': 0.125, 'xgb__colsample_bytree': 0.9, 'xgb__colsample_bylevel': 1.0}",0.894638370021637,0.9079440148035652,0.903238739978826,0.901940374934676,0.005509044660472208,157
947,26.92164691289266,0.11491597615812191,0.2184757391611735,0.0037701413710398437,0.5,0.001953125,0.0078125,2501,32,9,0.015625,0.3,0.9,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 0.001953125, 'xgb__reg_alpha': 0.0078125, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 32, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.015625, 'xgb__colsample_bytree': 0.3, 'xgb__colsample_bylevel': 0.9}",0.8915779587592498,0.8999644286841193,0.9036812513741873,0.8984078796058522,0.005062249618861214,252
948,2.3152039845784507,0.01267577001427776,0.025527795155843098,0.00012124646813496356,1.0,0.03125,4,751,1,1,0.25,0.9,0.2,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.03125, 'xgb__reg_alpha': 4, 'xgb__n_estimators': 751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.25, 'xgb__colsample_bytree': 0.9, 'xgb__colsample_bylevel': 0.2}",0.8879911641475684,0.8963814940689899,0.9002815813638959,0.894884746526818,0.005127948175869045,361
949,19.78450568517049,0.07564312937215453,0.08294860521952312,0.0020367100715213277,0.2,0.25,8,3251,64,3,0.001953125,1.0,0.5,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 0.25, 'xgb__reg_alpha': 8, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 64, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bytree': 1.0, 'xgb__colsample_bylevel': 0.5}",0.8524372010812099,0.8501839387214969,0.8558059527482822,0.8528090308503297,0.002310188082133201,1099
950,4.63005010286967,0.0019119134194993948,0.040193398793538414,0.00045393696725905963,0.6,0.5,128,751,1,3,0.001953125,0.4,0.4,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 128, 'xgb__n_estimators': 751, 'xgb__min_child_weight': 1, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bytree': 0.4, 'xgb__colsample_bylevel': 0.4}",0.8498916296736148,0.8559366314516783,0.8658811704472599,0.857236477190851,0.006592093888249719,1065
951,0.03578368822733561,0.00024406861797206318,0.006900628407796224,8.06903564214024e-05,0.8,4,1,1,64,13,0.0078125,0.0,0.7,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 1, 'xgb__n_estimators': 1, 'xgb__min_child_weight': 64, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bytree': 0.0, 'xgb__colsample_bylevel': 0.7}",0.5634642858132299,0.5931341831130246,0.5969326292567472,0.5845103660610006,0.014962401068977105,1405
952,77.06608152389526,0.19394873875221968,0.1411886215209961,0.00714390920373769,0.9,2,512,2001,2,5,0.0009765625,1.0,1.0,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 2, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 2001, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bytree': 1.0, 'xgb__colsample_bylevel': 1.0}",0.8289946724464174,0.8350467772019199,0.843695090248305,0.8359121799655475,0.006032537461963193,1208
953,2.987293243408203,0.10327628279869065,0.03204671541849772,0.0018082187969344764,1.0,1024,1,251,8,13,0.001953125,0.3,0.7,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 1024, 'xgb__reg_alpha': 1, 'xgb__n_estimators': 251, 'xgb__min_child_weight': 8, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bytree': 0.3, 'xgb__colsample_bylevel': 0.7}",0.7954405043675965,0.8234381796333021,0.8243183569247027,0.8143990136418671,0.01341050542032943,1281
954,7.048780520757039,0.016852841606401454,0.02416404088338216,0.000291158211784287,0.1,4,128,3751,64,15,0.00390625,0.0,0.8,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 4, 'xgb__reg_alpha': 128, 'xgb__n_estimators': 3751, 'xgb__min_child_weight': 64, 'xgb__max_depth': 15, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bytree': 0.0, 'xgb__colsample_bylevel': 0.8}",0.5,0.5,0.5,0.5,0.0,1419
955,0.0391237735748291,0.003415396871961217,0.006986935933430989,5.0890810431692074e-05,0.5,1024,0.125,1,64,10,0.00390625,0.2,1.0,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 1024, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 1, 'xgb__min_child_weight': 64, 'xgb__max_depth': 10, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bytree': 0.2, 'xgb__colsample_bylevel': 1.0}",0.5,0.5,0.5,0.5,0.0,1419
