,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
324,1.731685479482015,0.04574685071378874,0.005000909169514974,8.99132768232406e-07,0.5,0.125,4,3001,128,11,0.0009765625,0.1,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 0.125, 'xgb__reg_alpha': 4, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 128, 'xgb__max_depth': 11, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.1}",0.5,0.5,0.5,0.5,0.0,594
325,2.423652489980062,0.05555661831216897,0.005667368570963542,0.0004711462140166774,0.7,32,0.03125,2501,32,8,0.125,0.7,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 32, 'xgb__reg_alpha': 0.03125, 'xgb__n_estimators': 2501, 'xgb__min_child_weight': 32, 'xgb__max_depth': 8, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.7}",0.856515522875817,0.8606004901960784,0.9173357572085038,0.8781505900934664,0.02775823878751384,384
326,0.9933305581410726,0.006821454597642848,0.005004564921061198,4.103447800771582e-06,0.3,8,0.015625,1001,128,5,0.0009765625,0.9,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 8, 'xgb__reg_alpha': 0.015625, 'xgb__n_estimators': 1001, 'xgb__min_child_weight': 128, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.9}",0.5,0.5,0.5,0.5,0.0,594
327,1.6406683921813965,0.04800845071094273,0.004999796549479167,1.632582234078577e-06,0.4,256,512,2751,4,9,0.00390625,0.1,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 256, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 2751, 'xgb__min_child_weight': 4, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.1}",0.5,0.5,0.5,0.5,0.0,594
328,2.4123536745707193,0.06977268574997558,0.00666499137878418,0.00047406919091658043,0.4,0.0625,0.0078125,3001,1,8,0.5,0.4,"{'xgb__subsample': 0.4, 'xgb__reg_lambda': 0.0625, 'xgb__reg_alpha': 0.0078125, 'xgb__n_estimators': 3001, 'xgb__min_child_weight': 1, 'xgb__max_depth': 8, 'xgb__learning_rate': 0.5, 'xgb__colsample_bylevel': 0.4}",0.8498774509803921,0.8642258986928104,0.9165277988183609,0.8768770494971877,0.028642694580374016,394
329,1.4450175762176514,0.06347593194700853,0.005333344141642253,0.0004721021132045682,0.3,0.00390625,0.125,2751,64,7,0.0625,0.0,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.00390625, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 2751, 'xgb__min_child_weight': 64, 'xgb__max_depth': 7, 'xgb__learning_rate': 0.0625, 'xgb__colsample_bylevel': 0.0}",0.5,0.5,0.5,0.5,0.0,594
330,2.705679496129354,0.10815240463808307,0.009329875310262045,0.0004711600884716221,0.7,0.5,1,1501,8,9,0.125,0.8,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 1, 'xgb__n_estimators': 1501, 'xgb__min_child_weight': 8, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.8}",0.8519199346405228,0.8847017973856209,0.9325354744230672,0.8897190688164036,0.03310182344489356,275
331,2.5893351236979165,0.12657646849610651,0.00566713015238444,0.0004724942697061294,0.1,0.015625,256,3251,2,14,0.0009765625,0.7,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 256, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 2, 'xgb__max_depth': 14, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.7}",0.5,0.5,0.5,0.5,0.0,594
332,1.3783492247263591,0.021744924689087026,0.005999247233072917,5.6296859577257915e-06,0.1,0.015625,32,2751,2,13,0.0625,0.0,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 32, 'xgb__n_estimators': 2751, 'xgb__min_child_weight': 2, 'xgb__max_depth': 13, 'xgb__learning_rate': 0.0625, 'xgb__colsample_bylevel': 0.0}",0.7356004901960784,0.5725592320261439,0.7839721254355401,0.6973772825525875,0.09044192640160958,578
333,4.019333283106486,0.05118959887157733,0.007669289906819661,0.0004742973691219137,0.5,0.00390625,0.015625,4001,8,8,0.25,0.6,"{'xgb__subsample': 0.5, 'xgb__reg_lambda': 0.00390625, 'xgb__reg_alpha': 0.015625, 'xgb__n_estimators': 4001, 'xgb__min_child_weight': 8, 'xgb__max_depth': 8, 'xgb__learning_rate': 0.25, 'xgb__colsample_bylevel': 0.6}",0.8462520424836603,0.8597324346405228,0.9163763066202091,0.8741202612481308,0.030382124909679578,414
